,tweet_id,media_type,retweet_count,favorite_count,user_followers
82,876537666061221889,no media,4565,23130,7620330
83,876484053909872640,photo,2360,18459,7620330
84,876120275196170240,photo,4614,27466,7620330
85,875747767867523072,photo,4219,24796,7620330
86,875144289856114688,video,4851,21585,7620330
87,875097192612077568,no media,5964,26992,7620330
88,875021211251597312,photo,4649,25075,7620330
89,874680097055178752,photo,4575,27377,7620330
90,874434818259525634,no media,14513,0,7620330
91,874296783580663808,photo,4047,25655,7620330
92,874057562936811520,photo,3905,22316,7620330
93,874012996292530176,photo,10265,34052,7620330
94,873580283840344065,photo,3894,23857,7620330
95,873337748698140672,no media,1564,0,7620330
96,873213775632977920,photo,1564,7139,7620330
97,872967104147763200,photo,5350,26979,7620330
98,872820683541237760,photo,3655,14513,7620330
99,872620804844003328,photo,3651,20517,7620330
100,872486979161796608,photo,8933,40135,7620330
101,872261713294495745,photo,6251,33763,7620330
102,872122724285648897,photo,8049,33980,7620330
103,871879754684805121,photo,11060,37492,7620330
104,871762521631449091,photo,3448,20020,7620330
105,871515927908634625,photo,3429,19974,7620330
106,871166179821445120,no media,5664,0,7620330
107,871102520638267392,no media,5470,20694,7620330
108,871032628920680449,photo,3792,22422,7620330
109,870804317367881728,photo,6164,33268,7620330
110,870726314365509632,no media,3,119,7620330
111,870656317836468226,photo,2630,12287,7620330
112,870374049280663552,photo,26095,81938,7620330
113,870308999962521604,photo,4140,21636,7620330
114,870063196459192321,photo,8325,36319,7620330
115,869772420881756160,photo,9998,42056,7620330
116,869702957897576449,photo,6330,27995,7620330
117,869596645499047938,photo,3126,15843,7620330
118,869227993411051520,photo,3776,20295,7620330
119,868880397819494401,photo,14468,65186,7620330
120,868639477480148993,no media,2098,0,7620330
121,868622495443632128,photo,5295,26587,7620330
122,868552278524837888,photo,2098,10071,7620330
123,867900495410671616,photo,4182,24066,7620331
124,867774946302451713,photo,7348,33820,7620332
125,867421006826221569,photo,2510,16041,7620332
126,867072653475098625,photo,121,0,7620332
127,867051520902168576,photo,7892,32116,7620332
128,866720684873056260,no media,4831,20018,7620332
129,866686824827068416,photo,3497,19273,7620333
130,866450705531457537,photo,35446,121934,7620333
131,866334964761202691,photo,14513,52440,7620333
132,866094527597207552,no media,8422,0,7620333
133,865718153858494464,photo,5650,25598,7620333
134,865359393868664832,photo,5032,26452,7620333
135,865006731092295680,photo,7736,27988,7620333
136,864873206498414592,photo,8762,32267,7620333
137,864279568663928832,photo,3059,14635,7620333
138,864197398364647424,photo,9015,30187,7619743
139,863907417377173506,photo,4181,20642,7620333
140,863553081350529029,video,4223,15332,7620333
141,863471782782697472,no media,2480,0,7620333
142,863432100342583297,photo,5317,23860,7619743
143,863427515083354112,no media,97,2271,7620333
144,863079547188785154,photo,1115,8787,7620333
145,863062471531167744,photo,2480,8554,7620333
146,862831371563274240,photo,5152,19219,7620333
147,862722525377298433,photo,3568,17117,7620333
148,862457590147678208,photo,5019,20616,7620333
149,862096992088072192,photo,23591,74765,7620333
150,861383897657036800,photo,10857,36238,7620333
151,861288531465048066,video,4212,17278,7620333
152,861005113778896900,photo,3850,16800,7620333
153,860981674716409858,no media,2188,0,7620333
154,860924035999428608,photo,835,0,7620333
155,860563773140209665,photo,2188,7559,7620333
156,860524505164394496,photo,5367,23774,7620333
157,860276583193509888,photo,3531,18416,7620333
158,860184849394610176,photo,5942,16793,7620333
159,860177593139703809,no media,31408,0,7620333
160,859924526012018688,photo,4168,19696,7620333
161,859851578198683649,photo,3572,15529,7620333
162,859607811541651456,photo,1604,18732,7620333
163,859196978902773760,video,30792,90594,7620333
164,859074603037188101,photo,13883,34146,7620333
165,858860390427611136,no media,8323,0,7620333
166,858843525470990336,photo,3549,15678,7620333
167,858471635011153920,photo,4950,21709,7620333
168,858107933456039936,photo,2978,15884,7620334
169,857989990357356544,photo,2643,16299,7620334
170,857746408056729600,photo,10883,34653,7620334
171,857393404942143489,photo,1688,5982,7620334
172,857263160327368704,photo,4626,20240,7620334
173,857214891891077121,no media,18,230,7620334
174,857062103051644929,no media,177,0,7620334
175,857029823797047296,photo,4114,19165,7620334
176,856602993587888130,no media,10977,0,7620334
177,856543823941562368,photo,2957,16480,7620334
178,856526610513747968,photo,1935,12009,7620334
179,856330835276025856,no media,699,0,7620334
180,856288084350160898,no media,17,527,7620334
181,856282028240666624,photo,6503,28124,7620334
182,855862651834028034,no media,28,352,7620334
183,855860136149123072,no media,1060,5121,7620334
184,855857698524602368,no media,2178,12027,7620334
185,855851453814013952,photo,18255,46142,7620333
186,855818117272018944,no media,5597,27039,7620333
187,855459453768019968,photo,8472,30432,7620333
188,855245323840757760,no media,6184,0,7620333
189,855138241867124737,no media,47,0,7620333
190,854732716440526848,photo,6326,23264,7620333
191,854482394044301312,photo,7111,29880,7620333
192,854365224396361728,photo,4860,19276,7620333
193,854120357044912130,photo,7764,32628,7620333
194,854010172552949760,photo,3274,16539,7620333
195,853760880890318849,photo,6018,29209,7620333
196,853639147608842240,photo,10557,35631,7620333
197,853299958564483072,photo,3721,15897,7620333
198,852936405516943360,no media,2093,0,7620333
199,852912242202992640,photo,1916,9285,7620333
200,852672615818899456,photo,2252,15291,7620333
201,852553447878664193,photo,3669,16779,7620333
202,852311364735569921,photo,10315,33967,7620333
203,852226086759018497,video,7103,20538,7620333
204,852189679701164033,photo,1662,11775,7620333
205,851953902622658560,photo,10070,0,7620333
206,851861385021730816,photo,23,0,7620333
207,851591660324737024,photo,3631,16659,7620333
208,851464819735769094,photo,7418,24963,7620333
209,851224888060895234,photo,5990,21290,7620333
210,850753642995093505,photo,9724,31921,7620333
211,850380195714523136,video,2745,13450,7620333
212,850333567704068097,no media,350,3538,7620333
213,850145622816686080,photo,4024,16834,7620333
214,850019790995546112,photo,5147,21094,7620333
215,849776966551130114,photo,7985,31436,7620333
